Country,Date,Month,Year,ConfirmedCases
France,1,4,2020,56989
France,2,4,2020,59105
France,3,4,2020,64338
France,4,4,2020,68605
France,5,4,2020,70478
France,6,4,2020,74390
France,7,4,2020,78167
France,8,4,2020,82048
France,9,4,2020,86334
France,10,4,2020,90676
France,11,4,2020,93790
France,12,4,2020,120633
France,13,4,2020,124298
France,14,4,2020,129257
France,15,4,2020,132473
France,16,4,2020,144944
France,17,4,2020,146923
France,18,4,2020,146906
France,19,4,2020,151808
France,20,4,2020,154188
France,21,4,2020,156921
France,22,4,2020,154715
France,23,4,2020,157026
France,24,4,2020,158636
France,25,4,2020,160292
France,26,4,2020,160847
France,27,4,2020,164589
France,28,4,2020,167605
France,29,4,2020,165093
France,30,4,2020,165764
France,1,5,2020,165764
Italy,1,4,2020,110574
Italy,2,4,2020,115242
Italy,3,4,2020,119827
Italy,4,4,2020,124632
Italy,5,4,2020,128948
Italy,6,4,2020,132547
Italy,7,4,2020,135586
Italy,8,4,2020,139422
Italy,9,4,2020,143626
Italy,10,4,2020,147577
Italy,11,4,2020,152271
Italy,12,4,2020,156363
Italy,13,4,2020,159516
Italy,14,4,2020,162488
Italy,15,4,2020,165155
Italy,16,4,2020,168941
Italy,17,4,2020,172434
Italy,18,4,2020,175925
Italy,19,4,2020,178972
Italy,20,4,2020,181228
Italy,21,4,2020,183957
Italy,22,4,2020,187327
Italy,23,4,2020,189973
Italy,24,4,2020,192994
Italy,25,4,2020,195351
Italy,26,4,2020,197675
Italy,27,4,2020,199414
Italy,28,4,2020,201505
Italy,29,4,2020,203591
Italy,30,4,2020,205463
Italy,1,5,2020,207428
US,1,4,2020,213242
US,2,4,2020,243622
US,3,4,2020,275367
US,4,4,2020,308650
US,5,4,2020,336802
US,6,4,2020,366317
US,7,4,2020,397121
US,8,4,2020,428654
US,9,4,2020,462780
US,10,4,2020,496535
US,11,4,2020,526396
US,12,4,2020,555313
US,13,4,2020,580619
US,14,4,2020,607670
US,15,4,2020,636350
US,16,4,2020,667592
US,17,4,2020,699706
US,18,4,2020,732197
US,19,4,2020,758809
US,20,4,2020,784326
US,21,4,2020,811865
US,22,4,2020,840351
US,23,4,2020,869170
US,24,4,2020,905358
US,25,4,2020,938154
US,26,4,2020,965785
US,27,4,2020,988197
US,28,4,2020,1012582
US,29,4,2020,1039909
US,30,4,2020,1069424
US,1,5,2020,1103461
Vietnam,1,4,2020,218
Vietnam,2,4,2020,233
Vietnam,3,4,2020,237
Vietnam,4,4,2020,240
Vietnam,5,4,2020,241
Vietnam,6,4,2020,245
Vietnam,7,4,2020,249
Vietnam,8,4,2020,251
Vietnam,9,4,2020,255
Vietnam,10,4,2020,257
Vietnam,11,4,2020,258
Vietnam,12,4,2020,262
Vietnam,13,4,2020,265
Vietnam,14,4,2020,266
Vietnam,15,4,2020,267
Vietnam,16,4,2020,268
Vietnam,17,4,2020,268
Vietnam,18,4,2020,268
Vietnam,19,4,2020,268
Vietnam,20,4,2020,268
Vietnam,21,4,2020,268
Vietnam,22,4,2020,268
Vietnam,23,4,2020,268
Vietnam,24,4,2020,270
Vietnam,25,4,2020,270
Vietnam,26,4,2020,270
Vietnam,27,4,2020,270
Vietnam,28,4,2020,270
Vietnam,29,4,2020,270
Vietnam,30,4,2020,270
Vietnam,1,5,2020,270
